objid,bands,pid1,pid2
1237666338115027091,g,1237666338115027075,1237666338115027075
1237663204923081061,i,1237663204923081061,1237663204923081061
1237663784747139553,r,1237663784747140015,1237663784747140015
1237663783661928669,g,1237663783661928669,1237663783661928669
1237660239777562882,ri,1237660239777562882,1237660239777562882
1237663783663763765,gri,1237663783663763764,1237663783663763765
1237663785279815752,uri,1237663785279815750,1237663785279815750
1237660239777563292,i,1237660239777562883,1237660239777562882
1237666339190407301,i,1237666339190407300,1237666339190407301
1237663783663763764,g,1237663783663763764,1237663783663763765
1237663783662190758,g,1237663783662190758,1237663783662190760
1237663785279815750,ri,1237663785279815750,1237663785279815750
1237663784744452868,ui,1237663784744453202,1237663784744452456
1237663784747140015,i,1237663784747139528,1237663784747139528
1237663784747729004,g,1237663784747729004,1237663784747729007
1237657071158558867,g,1237657071158558867,1237657071158558867
1237666407920566825,ri,1237666407920566813,1237666407920566813
1237666407920500970,r,1237666407920500970,1237666407920500970
1237666300553986343,g,1237666300553986343,1237666300553986343
1237663278466138742,r,1237663278466138742,1237663278466138742
1237663278466138740,r,1237663278466138740,1237663278466138740
1237663783126958811,i,1237663783126958811,1237663783126958812
1237663784739733723,ri,1237663784739733723,1237663784739733723
1237666407379829719,i,1237666407379829719,1237666407379829719
1237666407379829720,i,1237666407379829720,1237666407379829720
1237663784747139201,ri,1237663784747139200,1237663784747139199
1237663237667618915,gr,1237663237667618915,1237663237667618915
1237663237667618914,gr,1237663237667618914,1237663237667618914
1237663784747139199,ri,1237663784747139199,1237663784747139199
1237663784739733721,ri,1237663784739733721,1237663784739733721
1237657190910329060,i,1237657190910329059,1237657190910329060
1237663783132987562,i,1237663783132987561,1237663783132987562
1237663783132987561,i,1237663783132987561,1237663783132987562
1237663783673200757,g,1237663783673200758,1237663783673200760
1237663784747139200,ri,1237663784747139200,1237663784747139200
1237657190910264135,ri,1237657190910263498,1237657190910263498
1237663785283616920,ri,1237663785283616930,1237663785283616920
1237663785279815751,ri,1237663785279815755,1237663785279815751
1237663783133839551,ri,1237663783133839551,1237663783133839551
1237663783133839545,ri,1237663783133839545,1237663783133839546
1237663783673200756,gr,1237663783673200756,1237663783673200756
1237663782598672464,i,1237663782598672463,1237663782598672464
1237663783136133540,gr,1237663783136133545,1237663783136133540
1237663782596248144,i,1237663782596248145,1237663782596248144
1237663784214135159,ui,1237663784214135160,1237663784214135160
1237666299482341540,gri,1237666299482341534,1237666299482341534
1237657192518123686,i,1237657192518123878,1237657192518123878
1237663204922294374,gr,1237663204922294365,1237663204922294365
1237663782599787587,ui,1237663782599786666,1237663782599786668
